model,feature_set,split,accuracy,balanced_accuracy,macro_f1,weighted_f1
extra_trees_80_half_features,raw_engineered,test,0.5567835175276291,0.17336441190556987,0.19107760264119628,0.5211486625638899
extra_trees_80_sqrt,raw_engineered,test,0.5341801270190528,0.1569491502490567,0.1706102746463179,0.498522861504877
random_forest_60_sqrt,raw_engineered,test,0.5417312596889533,0.14095849591148246,0.1542590054743791,0.5004081859486594
voting_ensemble,raw_engineered,test,0.5306796019402911,0.1888610619607486,0.14576019291217268,0.5143130896542697
hist_gradient_boosting_lr_0.05,raw_engineered,test,0.5414312146822023,0.13369336968790785,0.13464112523576355,0.4952230811715237
hist_gradient_boosting_lr_0.10,raw_engineered,test,0.5302295344301645,0.14198999967483014,0.12339379920079345,0.502723610308502
sgd_logistic_alpha_1e-4,raw_engineered,test,0.44221633244986747,0.13935775718367066,0.10932638129674996,0.4451106290547979
ridge_alpha_1,raw_engineered,test,0.15112266840026004,0.2714353647734045,0.07510018744357086,0.18913925037603171
ridge_alpha_10,raw_engineered,test,0.14577186577986698,0.2696205097327087,0.0726544793085826,0.18155827908082028
pca50_ridge_alpha_1,pca_50,test,0.05730859628944342,0.16321896427690896,0.03729565796286616,0.06499036482835226
most_frequent_dummy,raw_engineered,test,0.2959443916587488,0.015873015873015872,0.007249585794829862,0.13516487824321632
extra_trees_80_half_features,raw_engineered,validation,0.5568835325298794,0.1703797834559478,0.18517732242113225,0.5221954336229367
extra_trees_80_sqrt,raw_engineered,validation,0.5326799019852978,0.15801018805496134,0.16912584198984135,0.4987336115089419
voting_ensemble,raw_engineered,validation,0.5298794819222884,0.1936340475675425,0.14337273468773704,0.5139335888022146
random_forest_60_sqrt,raw_engineered,validation,0.5404810721608241,0.12516701874242486,0.14176227629291563,0.4999443754770876
hist_gradient_boosting_lr_0.05,raw_engineered,validation,0.5396809521428214,0.11695262958839997,0.12041012201985271,0.4950597196756513
hist_gradient_boosting_lr_0.10,raw_engineered,validation,0.5287793168975347,0.1091473222013578,0.10864936001164459,0.5025263496930364
sgd_logistic_alpha_1e-4,raw_engineered,validation,0.4407161074161124,0.1398611426794939,0.10778556479672059,0.44468747675794545
ridge_alpha_10,raw_engineered,validation,0.1420713106966045,0.2788266526243504,0.07221334342043886,0.17363535872471894
ridge_alpha_1,raw_engineered,validation,0.14772215832374858,0.27564039335809143,0.07204614811628315,0.1825491225116261
pca50_ridge_alpha_1,pca_50,validation,0.05840876131419713,0.2345009862100399,0.04038280782202775,0.062166208758224026
most_frequent_dummy,raw_engineered,validation,0.2959443916587488,0.015151515151515152,0.0069200591677921405,0.13516487824321632
