feature,f_score,p_value
B04_median,263.87032476677314,0.0
B03_median,260.49971434646363,0.0
B03_q25,242.5760358904807,0.0
B08_q25,224.72846827880528,0.0
B08_median,217.62518637707356,0.0
B04_q25,205.19261253439822,0.0
B12_median,191.01187487222901,0.0
B08_month_07_mean,179.415142647238,0.0
valid_observation_count,166.68196821874272,0.0
missing_rate,166.64132973552447,0.0
B05_median,166.47978260494966,0.0
B08_month_03_mean,163.1232897248749,0.0
B02_q25,160.04600066675522,0.0
B05_q25,159.8460018099234,0.0
B02_median,153.18431776203124,0.0
B12_month_08_mean,152.25950982128398,0.0
B08_month_08_mean,151.08290210247617,0.0
B12_q25,148.19134652747297,0.0
B11_median,147.2272018354135,0.0
B12_month_07_mean,144.1439450334785,0.0
B11_month_08_mean,138.8252058089997,0.0
ndwi_min,134.93472936870072,0.0
ndvi_max,134.2968784461934,0.0
B08_mean,134.02619447367235,0.0
B11_q25,128.74142728110598,0.0
B11_month_07_mean,124.61559470406748,0.0
B03_month_07_mean,123.91622283707727,0.0
B08_month_06_mean,123.6763196756103,0.0
B03_month_06_mean,119.78061055891628,0.0
B02_month_07_mean,118.71035021153683,0.0
B06_q25,118.5818751539533,0.0
B04_month_06_mean,118.37267853044463,0.0
B12_month_06_mean,114.46713505421206,0.0
B04_month_07_mean,113.09826252098365,0.0
B02_month_06_mean,111.78310232116493,0.0
ndvi_std,111.60939594329064,0.0
B12_month_05_mean,111.37487554672308,0.0
B07_q25,104.87599270655922,0.0
B11_month_06_mean,104.34079120039019,0.0
B8A_q25,98.13763302084762,0.0
B08_month_02_mean,96.2200649857902,0.0
B04_month_08_mean,96.0401349579988,0.0
B06_median,95.85377137775906,0.0
B12_mean,92.82195900041542,0.0
B04_min,92.75224426865256,0.0
B07_month_07_mean,92.2809569770901,0.0
B04_mean,92.23862144733563,0.0
B04_month_02_mean,91.19538389777502,0.0
B12_month_09_mean,91.04321457736167,0.0
B03_min,89.87617163234755,0.0
B11_month_09_mean,89.68621570070081,0.0
B02_month_02_mean,88.47546644938828,0.0
B05_month_06_mean,88.1416978797419,0.0
B07_median,87.76677599425564,0.0
B03_month_02_mean,87.56767965294748,0.0
B8A_month_07_mean,86.04975763620803,0.0
B11_month_05_mean,86.0326206726806,0.0
B11_mean,85.25134274798215,0.0
B06_month_07_mean,85.07998955552964,0.0
B02_month_11_mean,84.27042928097869,0.0
B04_month_04_mean,84.12332533298841,0.0
B02_month_04_mean,83.78858155388816,0.0
ndvi_mean,83.36749679065984,0.0
B05_month_07_mean,83.23198979405721,0.0
B8A_median,82.90666865528765,0.0
ndwi_std,81.24760718874052,0.0
B03_month_04_mean,81.0220295787127,0.0
B8A_month_03_mean,80.5332198775501,0.0
B08_iqr,80.21117860312408,0.0
B08_month_11_mean,79.23781225443508,0.0
B03_month_11_mean,79.18920686771146,0.0
B07_month_03_mean,78.63490435038133,0.0
B11_month_11_mean,78.34862901060666,0.0
B08_month_09_mean,78.31126934554464,0.0
B11_month_03_mean,78.25478434518993,0.0
B06_month_06_mean,77.23610915364225,0.0
B12_month_03_mean,77.09597625144279,0.0
B11_month_10_mean,76.30013114936527,0.0
B07_month_08_mean,75.57198225941471,0.0
B12_month_10_mean,74.28547406523374,0.0
B07_month_06_mean,73.44887283491242,0.0
B8A_month_08_mean,73.38525522859078,0.0
B12_month_11_mean,71.97930513851651,0.0
B8A_month_06_mean,69.99591930159885,0.0
B04_month_11_mean,69.9688882925838,0.0
B05_month_08_mean,69.64435700023863,0.0
B06_month_03_mean,69.19437203949286,0.0
B08_month_04_mean,68.14578173311966,0.0
B11_q75,67.84745313199855,0.0
B02_min,67.715319745424,0.0
B08_month_10_mean,66.00782000193423,0.0
B08_std,65.25255374050053,0.0
B03_mean,65.20228968756233,0.0
B12_month_04_mean,65.09480104045028,0.0
B10_month_12_mean,62.408824325639856,0.0
B12_min,61.596971205541664,0.0
B04_month_12_mean,61.30300096699549,0.0
B08_month_05_mean,61.1309556523291,0.0
B10_month_06_mean,60.70225793856038,0.0
B06_month_11_mean,60.1790008218096,0.0
B06_month_08_mean,59.995137165851645,0.0
B05_month_04_mean,59.80135793279711,0.0
B05_month_02_mean,59.533918776556646,0.0
B02_month_12_mean,59.48483139728709,0.0
B03_month_08_mean,59.08941732669762,0.0
B07_month_11_mean,58.50687199239138,0.0
B04_month_01_mean,58.01189180146325,0.0
B05_min,57.56306018131152,0.0
B03_month_12_mean,57.33239352930522,0.0
B11_min,57.265961942637624,0.0
B03_month_03_mean,56.83088201227319,0.0
B05_month_11_mean,56.73628101852325,0.0
B02_month_01_mean,56.428199375877995,0.0
B04_month_03_mean,55.806832342441005,0.0
B02_month_03_mean,54.755305277188484,0.0
B12_month_02_mean,53.88064354174116,0.0
ndvi_min,53.47489301307573,0.0
B06_month_02_mean,53.0134227766343,0.0
B03_month_01_mean,52.381488581538825,0.0
B8A_month_11_mean,51.83912920547276,0.0
B07_month_02_mean,51.086847449371355,0.0
B12_month_12_mean,51.01462451680821,0.0
B8A_month_02_mean,50.07512740859943,0.0
B8A_iqr,49.81555014077285,0.0
B01_month_11_mean,48.42137183431097,0.0
B07_iqr,48.261670504125625,0.0
ndwi_max,48.170718680053035,0.0
B11_month_02_mean,47.937999850255764,0.0
B04_month_09_mean,47.56782683305141,0.0
ndwi_mean,47.1004176782519,0.0
B11_month_12_mean,47.0727842454619,0.0
B11_month_04_mean,46.862096782029006,0.0
B04_month_05_mean,46.23851373536329,0.0
B08_q75,45.662468132527074,0.0
B06_iqr,45.29132944731105,0.0
B06_month_04_mean,44.7260422115163,0.0
nbr_std,44.68480478385928,0.0
B10_month_04_mean,44.54644061662678,0.0
B09_month_12_mean,43.93605483549214,0.0
B03_month_09_mean,43.7553802955273,0.0
B12_month_01_mean,43.39323407442022,0.0
B8A_month_09_mean,43.0434826927324,0.0
B10_month_02_mean,42.9445638582496,0.0
B07_month_09_mean,42.8959139586925,0.0
B08_month_01_mean,41.74254696351114,0.0
B01_month_04_mean,41.72303607988348,0.0
B04_iqr,41.70790512507055,0.0
B10_min,41.53576143852211,0.0
B08_month_12_mean,41.42997492897011,0.0
B02_month_08_mean,41.32676628840247,0.0
B09_month_04_mean,40.71054614746804,0.0
B07_month_04_mean,40.4185622299502,0.0
B05_month_12_mean,40.404622716715814,0.0
B04_std,40.390806723596604,0.0
B05_mean,40.25461390398998,0.0
B01_month_12_mean,40.032863242568496,0.0
B06_month_09_mean,39.99412470298713,0.0
B8A_mean,39.80989753528087,0.0
nbr_mean,39.6827142364728,0.0
B05_month_09_mean,39.665801337726606,0.0
B05_month_03_mean,39.56009206597368,0.0
zero_share,39.43821125654074,0.0
B07_mean,38.712802296974125,0.0
